date,open,high,low,close,volume
2018-08-30,399.89,414.7,399.89,408.58,595080
2018-08-31,406.78,415.86,402.2,406.58,527302
2018-09-04,402.06,413.79,400.011,411.36,474248
2018-09-05,410.7,410.99,383.12,383.83,736689
2018-09-06,385.1,386.44,376.14,383.1,535924
2018-09-07,378.44,388.93,375.2853,377.49,379843
2018-09-10,381.27,389.56,378.5699,388.58,472605
2018-09-11,388.1,397.64,383.28,397.41,467214
2018-09-12,397.0,398.91,380.39,392.94,485940
2018-09-13,396.18,397.475,388.69,390.94,374789
2018-09-14,392.32,399.12,392.0,395.67,398558
2018-09-17,395.6,399.62,367.71,368.9,643832
2018-09-18,369.06,380.64,368.55,376.56,598008
2018-09-19,377.0,380.53,366.91,376.75,450337
2018-09-20,377.75,382.1,372.19,381.98,481318
2018-09-21,381.33,386.72,380.97,384.88,1565354
2018-09-24,381.03,422.91,378.0,419.61,995678
2018-09-25,420.0,445.695,419.06,441.52,1198599
2018-09-26,443.49,453.9999,438.52,444.7,914019
2018-09-27,445.5,451.79,437.095,442.89,621054
2018-09-28,441.29,455.4,441.0,449.75,696383
2018-10-01,452.9,459.75,442.9259,444.25,526928
2018-10-02,442.92,442.92,426.39,429.17,843881
2018-10-03,429.59,431.0,418.4118,426.42,470167
2018-10-04,424.81,424.97,407.616,416.79,587510
2018-10-05,418.99,430.9306,405.4761,415.71,565030
2018-10-08,414.17,415.55,388.39,399.01,785224
2018-10-09,397.35,408.87,393.96,395.08,536320
2018-10-10,394.64,396.99,375.61,376.89,866026
2018-10-11,372.0,383.88,363.6327,367.54,815546
2018-10-12,381.57,396.19,374.26,384.78,989299
2018-10-15,383.78,387.97,367.24,372.08,674031
2018-10-16,376.28,388.11,374.74,386.88,460620
2018-10-17,391.57,391.57,380.05,389.79,355505
2018-10-18,389.47,389.96,380.0542,386.63,462805
2018-10-19,388.41,391.6962,360.63,362.42,850471
2018-10-22,363.02,368.69,355.61,366.2,504893
2018-10-23,358.89,373.85,350.25,370.04,492533
2018-10-24,369.48,376.8,352.0,352.71,497901
2018-10-25,352.0,352.0,317.0,333.12,1416172
2018-10-26,320.1,337.52,317.56,330.35,753336
2018-10-29,331.39,339.69,313.4,320.03,730090
2018-10-30,320.15,333.67,315.34,331.22,602824
2018-10-31,338.0,352.455,333.88,341.2,897698
2018-11-01,357.0,378.37,342.0,376.94,1482052
2018-11-02,390.0,399.88,376.12,384.13,765386
2018-11-05,385.85,395.24,379.51,392.91,707496
2018-11-06,392.78,399.5773,381.8371,389.85,442600
2018-11-07,410.0,427.6975,402.0,412.1,818318
2018-11-08,409.8,420.18,404.01,413.85,436239
2018-11-09,413.32,413.32,395.64,405.17,527323
2018-11-12,388.99,388.99,330.01,337.86,1693034
2018-11-13,342.4,351.7376,329.3,330.63,784614
2018-11-14,333.3,335.16,309.825,312.56,1169404
2018-11-15,310.58,324.275,301.12,320.78,931334
2018-11-16,318.04,332.15,315.3827,319.78,752891
2018-11-19,316.03,316.32,293.728,299.83,966341
2018-11-20,288.92,307.92,280.83,302.29,963799
2018-11-21,306.62,315.14,300.41,301.6,475797
2018-11-23,299.88,305.7,298.2498,299.41,224649
2018-11-26,301.4,312.27,295.2006,311.15,752131
2018-11-27,309.3,318.525,304.56,313.95,1090199
2018-11-28,316.64,335.99,316.455,335.22,710454
2018-11-29,331.65,335.4245,327.0008,331.99,533380
2018-11-30,334.36,335.98,329.04,332.68,522937
2018-12-03,339.62,344.99,333.21,343.45,572960
2018-12-04,340.83,343.2,321.8963,327.18,587743
2018-12-06,318.0,333.26,310.5797,332.98,501107
2018-12-07,331.56,333.0,315.045,317.52,469055
2018-12-10,317.9,326.785,312.46,323.66,447764
2018-12-11,330.0,330.8,322.595,328.13,391830
2018-12-12,335.0,341.09,330.32,330.69,376924
2018-12-13,332.42,338.2093,317.2617,319.72,444168
2018-12-14,313.63,323.93,312.03,316.19,348568
2018-12-17,312.57,312.57,295.405,298.77,758392
2018-12-18,305.11,306.75,299.14,304.8,552243
2018-12-19,305.0,314.66,290.45,296.14,647346
2018-12-20,296.14,303.21,275.485,284.28,896119
2018-12-21,283.79,294.04,283.31,290.29,1105363
2018-12-24,286.04,286.76,274.02,281.08,340737
2018-12-26,282.0,307.81,282.0,307.44,536619
2018-12-27,302.92,315.91,300.05,315.67,669197
2018-12-28,317.47,324.7767,314.0,318.17,489051
2018-12-31,320.3,329.91,320.3,325.04,483727
2019-01-02,315.94,320.71,307.03,309.96,590090
2019-01-03,307.25,311.7353,293.658,302.29,665345
2019-01-04,305.31,321.4752,304.98,313.44,624313
2019-01-07,313.5,315.5,305.56,314.8,710612
2019-01-08,318.45,323.095,312.22,318.42,570860
2019-01-09,324.74,342.97,322.1,336.4,623971
2019-01-10,334.1,340.87,322.77,335.13,531139
2019-01-11,332.77,334.1979,320.52,323.8,545064
2019-01-14,321.9,322.0,314.06,315.25,343558
2019-01-15,316.62,327.57,316.62,325.61,358240
2019-01-16,326.06,332.93,323.29,324.13,476913
2019-01-17,324.06,332.94,324.06,330.32,305591
2019-01-18,335.2,337.16,326.495,333.74,459825
2019-01-22,333.55,339.67,330.8505,336.13,669122
2019-01-23,339.14,344.97,332.75,336.98,376092
2019-01-24,337.5,349.34,334.95,348.5,734215
2019-01-25,349.99,353.92,346.46,349.37,415137
2019-01-28,348.9,349.995,333.7612,336.9,388755
2019-01-29,338.38,339.55,326.4844,330.38,374337
2019-01-30,331.11,339.91,327.38,339.59,414173
2019-01-31,359.54,362.67,342.3479,351.07,1073714
2019-02-01,348.79,351.45,340.92,351.08,496624
2019-02-04,349.18,352.44,316.38,330.41,1682200
2019-02-05,334.16,350.49,333.995,344.28,764733
2019-02-06,345.25,350.0,340.01,344.78,435175
2019-02-07,340.26,344.02,335.52,341.61,300581
2019-02-08,338.53,341.52,336.935,341.21,307537
2019-02-11,343.52,356.3,342.55,354.92,526024
2019-02-12,359.48,361.76,353.845,358.08,370315
